ia,intento,banco,caso,dictamen_entrega,resultado_caso,observaciones,respuesta_sha256,url_evaluacion
grok,2,SV-TRAZABILIDAD-2/1,E10,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E11,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
grok,2,SV-TRAZABILIDAD-2/1,E12,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,5820570785bd0702d28a00e36b9ed9cc42da1124e002663c3df1964cc0b66689,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/grok-intento-2/COTEJO_ORIGINAL.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E01,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,"Resolución DATO, literal 8.40 y una llamada de política, con fuente y alcance sintéticos.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E02,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,PERMISO_REVOCADO con contenido null y una llamada de política; no autorización profesional.,29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E03,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,Lectura del recibo negativo admitida sin autorización para actuar. Se cotejan los fragmentos abreviados de F08; no se tratan como reproducción íntegra de sus bytes.,29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E04,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,2/4; traza 3/3,Falta la entrada exacta de montaje F05; la cita del caso no suple la vigencia. RECHAZAR_LECTURA difiere de RECHAZAR del oráculo. La instrucción enumera ambas etiquetas sin asignarlas inequívocamente a este supuesto; discrepancia literal reservada para revisión común.,29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E05,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,1/4; traza 2/3,"F03 es una entrada verdadera para P3-01, ajena a P3-11; corresponde VigenciaDistinta. Claude añade que aceptar F03 convertiría PERMISO_REVOCADO en DATO. El caso mantiene F08 y no describe nueva resolución de política; esa conversión no queda demostrada. Se retira el punto de consecuencia y el de justificación plenamente sustentada; se conservan causa y evidencia correctas. RECHAZAR_LECTURA difiere de RECHAZAR del oráculo. La instrucción enumera ambas etiquetas sin asignarlas inequívocamente a este supuesto; discrepancia literal reservada para revisión común.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E06,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,2/4; traza 3/3,"Identidad de otra invocación, rechazada antes del contenido. RECHAZAR_LECTURA difiere de RECHAZAR del oráculo. La instrucción enumera ambas etiquetas sin asignarlas inequívocamente a este supuesto; discrepancia literal reservada para revisión común.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E07,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,F06 tiene 539 bytes y huella cbfc037a… coincidente. La escritura descrita corresponde al caso; el participante declara no ejecutar Rust.,29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E08,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,"Supresión de no y espacio dentro de alcance: tres bytes. ContenidoDistinto, rechazo anterior a creación del destino.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E09,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,"Alteración ya ocurrida, detectada al recuperar F07; referencia y vista anteriores intactas. No prevención.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E10,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,"La cobertura exige F02 y F03; F02 está citado y se omite F03, por tanto FaltaVigencia.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E11,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,1/4; traza 3/3,"Exceso de 16385 frente a 16384, anterior al cotejo y distinto de U. La explicación es materialmente correcta. La asignación de etiquetas públicas requiere revisión común.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,1,S4-EXTERNA-DOCUMENTAL/1,E12,No acredita todavía conformidad documental completa; valoración sujeta a revisión humana.,4/4; traza 3/3,"Destino ausente: Io(NotFound), error de E/S, no valor U.",29ac0a58ca78c608425861f96173387b3bc7d9dd7e66a0eb8d4128d518479eca,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/claude/EVALUACION.json
claude,2,SV-TRAZABILIDAD-2/1,E01,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E02,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E03,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E04,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E05,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E06,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E07,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E08,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E09,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E10,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E11,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
claude,2,SV-TRAZABILIDAD-2/1,E12,CONFORME_DOCUMENTAL,SIN_DISCREPANCIAS,,8fe52c9c84010171144cc678f28d13d5ef194bae637def11c0ed3c6156d7ef23,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s7-recepcion-externa/claude-intento-2/COTEJO_ORIGINAL.json
qwen,1,S4-EXTERNA-DOCUMENTAL/1,E01,"No acredita conformidad completa: causas técnicas no preservadas, límites por caso ausentes y traza insuficiente en E11/E12.",3/4; traza 3/3,"El encargo exige el estado en causa_o_resolucion; se entrega vigente=true/false. Decisión, contenido y llamada de política correctos.",54a120708e4c917801d4cd7c550bdcd21e35ad28c68b9d66c297ce40abb91bbd,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/b3f8cc771de98f7c77273544d1b9c941abd7eace/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s5-recepcion-externa/qwen/EVALUACION.json
