ID_IR,Nombre_IR,ID_Catalogo_Publico,Nombre_Catalogo_Publico,ID_Implementacion,Nombre_Implementacion,Emision_Observable,Cobertura_Suite,Situacion,Tratamiento_Recomendado,Observaciones
E111,UnorderedCodomain,E111,UnorderedCodomain,E111,UnorderedCodomain,no_directa,no_explicita,coincide,mantener_vigente_y_ampliar_cobertura,coincidencia_plena_sin_suite_y_sin_sonda_superficial_propia_en_v0_1
,,,,E112,IllegalBridgeUpdate,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,materializa_bajo_Via_B_la_clausula_posicional_de_J2_2_canonico_E202;_no_cierra_procedencia_por_connector
,,,,E113,EdgeConnectorMismatch,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,materializa_bajo_Via_B_la_obligacion_canonica_E206_sin_reutilizar_el_ID_efectivo_colisionado
E201,VectorLengthMismatch,E201,LiteralResultForbidden,E201,LiteralResultForbidden,no_directa,no_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_explicito
E202,IllegalBridgeUpdate,E202,GateInputNotEvalResult,E202,GateInputNotEvalResult,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,el_ID_E202_efectivo_sigue_divergente;_la_clausula_posicional_canonica_se_materializa_parcialmente_via_E112_y_la_procedencia_por_connector_sigue_abierta
E203,CyclicCompositionGraph,E203,GateMissingTable,E203,GateMissingTable,no_directa,no_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_explicito
E204,MissingConflictOperator,E204,QueryMissingContext,E204,QueryMissingContext,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_especifico_del_E204_canonico
E205,UndeclaredRegime,E205,SuperviseOpaqueTarget,E205,SuperviseOpaqueTarget,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_especifico_del_E205_canonico
E206,EdgeConnectorMismatch,E206,ResolveMissingContext,E206,ResolveMissingContext,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,E206_efectivo_emite_en_parse_por_ausencia_acreditada_de_context_en_resolve_y_sigue_divergente;_E206_canonico_EdgeConnectorMismatch_sigue_protegido_por_E113_mas_E104_E007
E207,,E207,ResolveMissingMechanism,E207,ResolveMissingMechanism,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,E207_efectivo_emite_en_parse_por_ausencia_acreditada_de_mechanism_en_resolve;_no_cierra_J1.6_ni_tipa_Mechanism
E208,,E208,ComposeMissingRelations,E208,ComposeMissingRelations,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,caso_compose_relations_vacias_svp_emite_hoy_E208_con_cobertura_explicita
E209,,E209,ComposeMissingPatterns,E209,ComposeMissingPatterns,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,caso_compose_patterns_vacios_svp_emite_hoy_E209_con_cobertura_explicita
E210,,E210,MaxMinForbidden,E210,MaxMinForbidden,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,max_keyword_cubierto_explícitamente
E211,,E211,SuperviseMetaNotSupervisor,E211,SuperviseMetaNotSupervisor,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,supervise_wrong_role_y_supervise_coupled_wrong_role_cubren_procedencia_simple_y_acoplada
,,,,E212,SuperviseMetaNotEvalResult,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,materializa_J3_3_meta_eval_como_EvalResult_sin_reutilizar_E211_ni_E306
,,,,E213,ProjectionSourceNotResult,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,protege_tipo_de_fuente_de_proyeccion_sin_codigo_canonico_autonomo
,,,,E214,ProjectionFieldNotFound,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,protege_pertenencia_del_campo_al_esquema_del_resultado;_target_context_mechanism_no_son_expresables_hoy_como_identificador_tras_el_punto
E301,InconsistentCounts,E301,FrameMutationForbidden,E301,FrameMutationForbidden,no_directa,no_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_explicito
E302,WrongThreshold,E302,TrajectoryMutationForbidden,E302,TrajectoryMutationForbidden,no_directa,no_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_explicito
E303,ClassificationPrecedenceViolation,E303,TransitionDataMissingHorizon,E303,TransitionDataMissingHorizon,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,caso_transition_data_horizon_no_declarado_svp_emite_hoy_E303_con_cobertura_explicita
E304,NonDeterministicGate,E304,TrajectoryAlternanceViolation,E304,TrajectoryAlternanceViolation,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,trajectory_alternance_violation_cubierto_explícitamente
,,,,E307,UndeclaredHorizonEvent,si_directa,si_explicita,solo_implementacion,mantener_como_deuda_gobernada_bajo_Via_B,materializa_bajo_Via_B_la_obligacion_canonica_E403_sin_reutilizar_el_ID_efectivo_colisionado
E305,UnsafeUResolution,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E306,UntaggedSupervisable,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E401,FrameMutationAttempt,E401,DomainPortContractViolation,E401,DomainPortContractViolation,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,domain_chain_mismatch_cubierto_explícitamente
E402,NonAppendOnlyTrajectory,E402,AgentDomainContractViolation,E402,AgentDomainContractViolation,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,agent_architecture_mismatch_cubierto_explícitamente
E403,UndeclaredHorizonEvent,E403,QueryContractViolation,E403,QueryContractViolation,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,el_ID_E403_efectivo_sigue_divergente;_la_obligacion_canonica_se_protege_funcionalmente_via_E307
E404,BrokenAlternation,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E405,EmptyTrajectory,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E406,InsufficientTransitionData,E406,InsufficientTransitionData,E406,InsufficientTransitionData,si_directa,si_explicita,coincide,mantener_vigente,convergencia_vigente:_J4_3_rechaza_induced_parameters_vacio;_no_cierra_por_si_sola_la_suficiencia_de_reconstruccion_del_operador_inducido
E501,OpaqueJustification,E501,SerializationNonDeterministic,E501,SerializationNonDeterministic,no_directa,no_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,sin_caso_de_prueba_explicito
E502,QueryMutatesTrajectory,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E503,StrongConclusionUnderInsufficientCoverage,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E504,UndeclaredLossyEncoding,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E505,IllegalCompClosure,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E506,AutomatedDesignDelegation,,,,,no_directa,no_explicita,solo_ir,reservar_para_ABI_y_fase_posterior,sin_contrato_efectivo_actual
E507,QueryContextMismatch,E507,UCoercionDetected,E507,UCoercionDetected,si_directa,si_explicita,mismo_id_significado_distinto,regularizacion_documental_inmediata_y_convergencia_posterior,u_coercion_cubierto_explícitamente
